公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
KH,AD,5S,5H,4D,468,3C,2S,7H,3D,1
TH,4C,2S,AH,9C,270,5D,3C,AC,4D,1
8H,8D,QS,3H,3S,100,6D,7H,7D,9D,0
8H,4S,TD,TC,4H,351,6S,AH,3S,5S,1
9S,6C,6S,7H,3H,457,7D,2D,2C,QS,1
JS,TC,7S,9C,KD,27,2S,8S,2D,7H,1
7H,3D,JC,KS,JH,79,QD,4D,6S,QC,0
4C,QH,7S,AH,6D,474,6C,QS,2D,3C,1
5D,JD,JH,KC,2H,209,8D,3H,AS,6H,0
5H,TD,KS,6D,AH,303,JD,6S,AS,9C,0
TC,4S,AS,9D,9H,451,2S,6C,AH,7D,0
6S,KS,5S,7C,7D,322,2S,QC,AD,2H,0
AD,KS,5C,TH,3D,196,AS,5S,3H,4D,1
5D,8H,QC,6H,JH,157,4C,JC,7D,TH,1
KS,QC,7D,7S,9C,218,6D,2C,JC,6S,0
7D,AD,KS,QD,QH,330,JH,7C,AS,3D,0
AD,2S,JC,5S,9D,149,KS,KC,9C,3D,1
8S,3S,8D,9S,5H,321,2C,QS,5S,TD,0
2D,5D,7D,AC,TH,311,3S,3H,TD,AD,0
QD,QC,KH,4C,7C,251,6H,6S,7H,8D,0
2D,4C,8C,6H,4H,486,5C,2H,KH,8D,0
AS,8C,QC,2S,4H,326,TH,7S,TD,8H,0
4D,QS,4H,7H,8D,181,AH,2H,4C,QD,0
6S,KC,3S,8H,QS,324,9C,4D,JD,7C,0
3C,2D,8H,5H,9D,418,8S,JH,QD,4H,1
KS,TH,QH,KD,6D,79,7H,3H,5D,4C,1
AC,JH,4S,JS,8D,279,9H,8H,3C,QD,1
JD,4D,4S,JH,3S,420,QH,JC,QC,AD,1
8D,JS,QH,2S,6S,23,2D,KS,9D,AC,1
KH,3S,6H,KS,7S,189,QC,3D,JH,QD,1
8C,4C,KH,3H,QH,394,TD,5C,AH,KD,0
QS,2H,KC,9C,2D,320,6S,3D,9D,KD,0
TC,AC,7H,9D,8C,385,7D,QS,6D,8H,0
7H,5H,4C,7D,TD,87,9D,KD,7S,4H,0
QS,JS,2S,2C,AD,413,TD,6S,7D,5D,0
3C,KH,3D,2C,6C,107,8D,7D,9C,6H,0
3S,TH,4D,8S,KD,377,TS,7D,JC,2C,1
2D,QH,7C,JS,6H,359,7H,5H,4S,JD,0
TH,4S,TS,6S,3C,202,2H,3H,7C,8D,1
7D,KS,5S,3D,3H,45,KD,6D,2H,8C,1
8H,AC,JD,TS,TH,402,QD,9H,7D,6D,1
9C,5C,7C,6C,7H,184,4C,AS,2H,TS,1
5C,6D,KH,QD,JD,490,4H,KS,3H,4D,1
JC,6C,7C,2H,4C,323,6S,8H,3S,7H,0
4C,KD,8C,5H,QH,328,8D,KH,KS,JH,1
AS,4D,AD,8D,8H,149,6C,7S,QD,KH,0
3C,9S,9H,JS,KS,70,KD,3H,2S,3S,0
2C,9C,AH,QC,KS,203,7S,9D,4D,AC,0
5H,8C,TH,TS,5S,69,6S,7S,AC,6C,0
9D,2H,TC,KC,AC,49,QC,6S,QS,5D,0
QD,TH,8S,9H,2D,480,9S,KS,AC,4H,1
6H,TH,AD,QH,7D,166,KS,2D,9C,AS,0
4D,4C,6S,7C,JS,234,AC,JH,5D,4S,0
6D,5H,TC,8D,TD,93,7D,KD,4D,9C,1
JS,4C,AS,3D,KD,41,JC,2H,JH,6H,0
7S,9S,8D,AS,JC,96,6C,JS,3H,4D,1
6C,AS,TD,2S,7D,416,2D,QD,9D,5S,1
9S,3S,7H,8S,JD,382,JS,QD,QS,AC,1
9H,9C,AD,4C,7C,398,4D,5C,4H,JH,0
AD,9H,8H,AC,KD,328,JD,7H,3H,KH,0
TS,6S,KH,4H,7D,324,JH,2D,TH,6C,0
QH,KC,TC,5D,JS,463,AH,QD,8C,7C,1
7C,8S,TD,5D,8C,62,2C,5C,5S,6S,0
9H,7D,9C,4C,5C,135,KH,8S,TS,2H,1
9H,QS,KC,8H,3D,281,QH,8D,TD,5S,1
3D,4H,5H,2S,AC,124,8H,QD,TS,TH,0
3H,KS,4C,5C,JS,285,2H,AD,JD,QD,1
7H,AH,JD,2H,TH,55,QS,9S,JS,JH,0
7D,8S,TS,KD,4D,248,6D,5D,KC,AD,1
2S,4H,3D,4S,6S,169,AC,JD,5C,8C,0
TD,9S,TH,9C,2D,372,3D,4C,QC,JH,0
4C,5H,2D,4D,8D,158,6S,3H,TC,3D,1
8C,9C,TD,7D,2C,367,QC,7S,6H,3D,0
4C,4H,TD,JH,2S,330,QD,9D,4D,JD,0
8H,KH,TC,2S,JD,273,QD,2C,4C,5D,1
JH,QD,AC,6D,9S,429,8S,6H,KC,5D,1
TC,4D,6D,2D,QH,367,5C,3D,2C,6C,1
2H,7S,2D,7D,8H,229,9D,KD,KH,QH,0
9C,8C,QH,7D,6C,136,8D,6H,QD,7S,0
2D,5C,TC,3S,JH,218,KH,4H,9H,8C,1
QC,QS,4S,4D,AC,54,7H,5D,JH,5H,0
2D,6D,6S,KH,AC,351,4S,KD,3C,TS,1
3D,KH,AH,JH,6S,186,4D,4S,6D,8H,0
QC,JC,3H,4C,6H,148,3C,8D,8H,6D,0
JD,JC,9D,AC,8C,293,4C,7C,TH,8H,1
QD,AC,JD,QS,AD,381,QH,4D,5S,9H,1
6H,QS,6C,4C,4H,126,QD,3H,2C,TH,1
5C,9D,4S,AH,9C,276,4D,KC,3H,3S,1
9C,JC,8C,JS,6S,69,KH,JH,8D,9H,1
KD,QD,JS,8S,6D,281,5C,4H,6S,QS,0
2D,4H,QC,4S,9S,147,AH,7S,JC,JH,0
TC,2H,7S,7H,JS,195,5D,7D,JC,QC,1
KD,JD,4D,9C,KC,205,2D,3D,JC,2C,1
QS,5H,JH,5C,JS,81,7D,3D,2H,4D,0
QS,2D,KC,9C,AC,84,6S,5C,JD,4S,0
TH,7S,7H,QD,KH,416,TC,8S,9H,AD,1
9D,JH,TD,5D,2D,266,KH,6C,7S,8D,0
5D,5H,2C,JC,8H,470,2S,8C,QC,JD,0
5C,7D,QD,8D,AS,332,9H,3S,KH,3H,0
AD,9H,TC,2D,5S,240,6C,AH,TH,2S,0
4D,7S,JS,TS,8H,403,3D,9D,4C,JC,1
QC,5H,5C,3H,TH,138,KC,3D,AD,TS,0
3C,3H,QD,TH,3S,20,8C,9D,8H,6H,0
8H,5D,KH,6D,AD,201,TS,7H,4H,QH,0
AD,QS,TC,3S,KS,482,3H,2H,TD,TH,0
QS,9H,TC,QH,AS,285,4H,3S,5C,6D,0
4D,9C,TS,JD,6C,94,6H,QH,4S,TC,0
TS,JC,4C,QS,6C,287,6H,AH,TD,AD,0
5D,4D,TH,8S,5C,317,6H,JC,8C,3S,0
7S,QS,JH,TD,QC,277,7H,9C,4C,3H,1
3H,4H,6S,AD,TC,461,4C,5D,3S,7H,1
4C,8S,9C,5S,QD,318,QS,8D,3H,2S,1
KS,4D,JS,QS,AS,238,3S,4H,6S,AD,0
3C,AD,AC,KD,9C,354,2C,6D,9S,TD,0
QC,7C,2S,9S,2H,162,3D,KS,7D,6H,0
7D,8H,5D,2H,8S,435,2D,JS,3H,QC,1
8S,JC,AS,KD,5D,474,2D,3C,3S,5C,0
9C,TH,TS,4S,4D,93,8S,TD,5S,3S,1
2D,TS,3D,6H,4H,87,9H,7S,6S,3H,0
7H,KS,AC,TC,AS,38,5C,7D,KD,2D,0
QC,7H,5H,JS,9H,363,TC,8H,3H,2S,1
8D,QC,5H,9S,3H,420,4H,7D,TH,4D,0
2S,9C,7H,3S,QH,389,KH,QS,TH,8H,1
5S,9H,2C,KS,2D,107,4D,8S,QD,3C,0
4D,5D,TH,2D,5S,50,JH,5H,QD,QH,1
QD,9H,AS,4S,KS,430,7C,2C,6H,TC,0
7C,AC,5C,5H,3S,494,8C,6C,JC,5S,1
5S,7D,3D,KC,6D,479,3S,9S,6H,KH,0
9H,3H,7D,3D,7C,458,6H,KH,KS,5D,0
6C,AH,5D,AS,5S,423,4S,4H,2S,KH,0
8D,3S,9D,2H,5H,490,7C,8S,AC,AH,0
AD,JH,3C,9C,8S,336,6C,JC,7S,TH,0
3S,9H,5D,3C,2D,277,KH,TS,8H,KD,1
6H,TH,7D,5D,KH,116,9H,AS,KS,TS,0
5D,7S,JS,5C,3H,332,4C,QC,8H,JC,0
7H,AC,5H,6C,4D,156,KS,6D,KH,3D,0
JH,KC,QC,6C,4S,426,6H,7D,TS,AD,0
8H,TS,9C,3C,4D,59,5S,5D,KD,8C,0
3S,5D,AH,8C,KS,15,QS,3C,QD,4S,1
3C,2D,TC,7H,9C,498,KC,JS,JC,AH,0
JC,KS,7S,8C,9H,143,9D,QS,TS,6H,0
TS,QC,KC,TH,5C,392,8H,QH,9S,JC,0
5C,5D,8C,6H,KH,10,8S,QD,4H,9H,1
4H,5C,TS,9H,JC,102,2C,KD,QH,8C,0
4D,6H,3S,AC,2D,39,9D,JH,7H,QC,0
9S,TH,AS,TD,8D,443,3D,5C,KS,KD,0
QS,TH,7C,5D,9D,285,2D,TC,5H,6D,1
4D,9D,AC,7C,2S,485,TD,9S,6S,KD,1
TC,6S,AH,TS,7S,251,JH,2S,AD,QD,0
6H,AC,2C,9H,KH,291,QD,TC,7H,7C,0
TH,7S,AS,7D,9D,180,TC,QS,2D,7C,0
5S,KD,2C,TC,TS,216,AD,4S,KC,3S,0
6S,QH,AS,4D,QD,338,JD,3C,3H,2D,1
TH,4S,7C,6D,9D,334,JH,2S,3S,2D,1
AS,TH,JC,KC,2H,352,JD,3H,8D,6H,1
KC,2D,7C,QC,4C,419,7H,KS,KD,JD,1
TH,AC,3C,7S,2C,317,JC,6D,5C,5D,0
JH,AH,KH,7C,6H,400,QC,8S,7S,5S,0
3S,KC,QC,KD,5S,227,4H,6S,QH,6D,0
6S,TC,7H,AD,4C,65,4S,TS,3S,KD,1
AS,8H,9D,5S,8S,348,3S,QS,KS,2S,0
4C,2D,KC,4S,QC,402,9H,AH,2C,5H,0
2H,8S,QD,6C,3S,242,5C,4D,9D,KD,1
7C,7H,8H,3C,5S,315,8C,AD,9S,2S,1
2H,8C,8S,7C,6S,117,7S,4H,9C,3C,1
6C,3H,7D,AD,KD,319,5S,7S,9S,QS,1
4D,7S,JC,2C,JD,473,3S,JS,8S,KC,1
JC,KD,4C,TC,2C,425,7S,QS,2S,2H,0
QD,2C,8C,6C,KS,149,2D,9H,6D,KH,0
8S,5C,QS,7C,TS,358,TH,9D,KD,9H,1
KH,2S,4D,2C,4C,405,7D,5C,TC,4H,0
JS,5S,6H,QC,2S,160,3S,AC,AS,4S,0
5D,AS,JH,QH,TC,315,5H,9H,6C,QC,0
TC,7S,6S,TD,6C,83,QS,9D,4H,4C,1
2C,9S,8D,7C,7H,370,QC,2S,4C,9C,0
9D,9H,8H,7H,8D,471,9C,JS,6C,2H,1
4C,8D,3C,3D,AH,377,QC,5C,6H,5D,1
2C,3D,AS,9S,4D,451,3S,8D,KC,5S,0
4S,4D,8S,QH,5S,218,AH,KH,6S,9D,1
4H,KC,5H,7C,9D,270,9S,6S,5D,2D,1
2C,5H,6D,TH,KD,352,QS,4H,5C,JC,0
AS,7C,4C,4S,3H,347,JS,QH,AD,QC,0
3H,3C,7C,KH,5H,196,6S,4D,8H,JC,1
KS,8S,8C,JC,5D,376,3S,JD,9C,9S,1
6H,TC,KH,TD,4D,120,QS,7C,AD,5D,0
4S,7H,9D,QD,5C,485,9H,3S,7D,JD,1
5C,TC,QH,TH,2C,287,3C,9H,8C,4C,0
6H,9D,KD,JC,9S,386,7D,8S,5C,2D,1
2C,6D,9D,7H,AH,36,AC,QD,7S,KD,1
3S,QS,4H,5C,3D,86,8C,KS,9S,QH,0
2D,8S,4C,QH,KS,219,7S,TS,JC,6S,0
7D,KC,3C,8D,JS,110,KH,JH,AH,TS,1
JD,JC,TC,9S,6H,437,TH,KC,AH,AD,0
2S,2D,4C,6H,TC,460,5S,KS,3C,AD,0
2C,7C,3H,QH,2S,178,6C,QC,9S,3C,1
4C,2H,9C,3S,7H,438,6S,4D,6H,JH,1
8C,TC,QC,JC,KC,488,7C,TH,9S,3C,0
6S,8H,4C,9D,4S,438,5D,6H,7S,2D,1
4H,4S,3C,5H,KD,148,KH,TD,JC,9H,1
7D,8H,7C,TC,TS,327,TH,3D,7H,QC,1
5C,QC,AC,QD,JS,300,2H,AH,7D,8H,1
5C,5D,2H,QD,4S,435,TS,AS,8C,QS,0
9H,6S,AD,6C,JH,386,5D,2D,8C,7S,0
JS,JH,5D,JC,QH,367,4H,3H,4C,2C,0
QC,8D,QS,8S,9H,88,5H,6H,KH,4C,0
JH,9C,9D,KC,TC,318,QH,AD,3H,4D,1
TS,3C,4D,4C,5S,283,7S,6H,5D,2C,1
9H,AC,TS,9D,JD,95,8H,5D,2H,AD,0
9S,TH,3S,2H,TS,442,2D,KS,JS,3H,0
8H,JD,9D,6H,KC,369,AC,9S,2H,7D,1
TD,2H,AH,4S,3H,185,5C,KC,7D,KD,1
AS,2D,3D,JD,4H,364,6H,QS,2S,3C,0
2C,6C,5D,2D,JC,186,QD,TS,7C,9S,1
3S,JD,TH,7C,AD,80,2S,QC,AS,2D,0
3D,5C,AD,QS,AH,250,8H,3S,4H,8D,1
3D,TD,7S,QS,6H,487,9C,TS,AS,8C,1
8S,2C,7D,6C,KD,265,JS,9H,AC,5H,0
JS,6S,5H,TD,8C,87,AS,QS,AH,3S,1
AS,2H,9S,QH,6H,318,2D,KD,4D,4C,0
8S,9D,4S,KS,5H,373,3H,5D,KC,AC,0
KD,AC,9S,QC,2H,313,TS,7S,8S,6H,1
7H,QD,6H,KS,3D,257,4H,AC,JH,3S,0
AD,TS,8C,AH,2H,458,AS,7H,JC,KH,1
9H,4C,7H,3S,3C,346,KH,JS,QS,2H,1
5C,3H,7C,9C,QS,168,9D,JD,QH,8D,0
9D,QD,AC,AS,9S,415,JS,5S,JH,6H,0
QH,JS,2D,JC,AC,492,AH,7D,6D,6S,1
5C,JC,5H,JH,QD,169,9C,KD,AH,2D,0
6S,AC,3C,3H,JH,76,5D,QD,8D,2C,1
6D,KC,4H,7D,5D,26,QC,JC,8S,3C,0
4C,TS,5S,8C,9S,102,2D,4H,3H,KH,1
6D,7C,3D,KS,7D,21,TS,JS,6C,7S,0
8H,9D,4C,5C,JC,50,KS,JD,6S,QH,1
6S,AH,8D,5S,6D,129,4H,2D,JC,5C,0
4D,KC,AS,6D,KS,417,7D,5C,2C,5S,1
9D,7S,3S,9C,4H,110,8C,9S,3H,KS,1
7S,AH,9D,4D,4C,47,2C,4H,9C,5C,1
8C,3D,9S,AD,AC,201,5S,9H,KS,JH,1
2D,QC,7C,AH,4D,333,8D,TD,3D,5H,0
8S,9H,JD,JH,QS,249,2S,AH,3S,AS,0
7H,AH,JS,TS,5S,456,2S,6S,9S,8S,0
8H,7D,9H,4D,6H,186,QS,JC,QD,AH,0
3C,8D,8S,7C,QS,447,TD,3S,5H,QC,0
6D,2C,5H,JC,KD,350,QH,QD,9C,9D,1
7C,QC,4C,5D,JD,381,3D,QH,TC,AH,1
QS,JD,QH,3H,AC,406,6H,7D,6C,TH,0
8H,JC,2H,AC,JS,123,3S,QS,AS,5S,0
3C,7H,TD,AD,TC,116,6H,2D,9S,5S,0
5H,JD,KC,9C,TS,211,AC,QC,6C,3S,1
6D,2C,3C,7D,3D,341,3H,9H,7S,TC,1
6H,9C,2C,KC,JS,271,AS,JC,7C,8H,1
8S,3H,9S,9C,8C,487,TH,6C,2H,AH,0
6H,7D,QS,5H,2C,14,7S,3D,4C,9H,1
QD,9S,2H,AS,QC,439,AH,TC,8D,JC,1
4C,KD,9D,TC,QC,63,6H,3C,QH,TS,0
KC,8C,AC,9S,6C,227,4H,4S,4C,TH,0
AC,TH,2C,TD,4S,221,8S,5C,JD,3C,0
8D,8S,9H,TS,JC,293,JS,KC,3S,QH,0
9H,TS,JC,8D,AH,140,JS,6S,2C,4S,1
2D,9S,6S,3C,6H,334,5H,5C,7H,5S,1
9C,JS,JD,2S,KH,233,7C,6C,5S,AH,0
6C,QD,8S,8D,9C,208,4C,6D,7C,JC,1
9S,7H,AD,AH,4C,96,7S,QC,4S,9D,0
8H,TH,5D,7H,QD,282,9D,5H,TD,6H,0
8C,TH,5C,3C,9D,389,AH,QD,6S,3D,0
3C,7C,5S,2D,8D,419,AD,QD,4S,4D,0
9H,JC,6S,8D,5S,253,4H,9D,2C,7H,0
9D,QS,7S,3H,6C,259,2H,QH,4D,2C,1
JD,9S,AH,8C,6S,159,8S,QH,TH,2S,1
3S,3H,AS,8D,5C,60,JD,4C,KS,5D,0
KS,2S,4H,5S,2H,353,6S,AS,4S,QD,1
9D,9H,JH,TS,9S,112,2H,AD,AC,KS,0
TS,QH,9H,2D,AH,163,5D,KS,TC,2S,0
3S,3H,TC,KS,7D,367,8D,TS,2H,4H,1
JS,4S,6D,QC,5C,13,3D,6H,8C,6S,0
6C,2S,2H,2D,6H,420,9H,8H,7C,8S,0
9D,2C,2D,JD,4D,404,3H,AD,7D,KS,1
TC,9H,6H,QD,6S,174,KD,3S,7D,JS,1
6H,QH,4D,2D,3H,102,5D,7D,2H,JC,1
3S,8S,3C,4H,TH,264,2S,9S,TD,6S,0
2D,2S,2H,KS,7H,249,6S,6C,QC,KH,0
6S,AC,4S,3D,TH,148,AD,4H,6C,KD,1
7S,AD,JC,KH,QS,422,6C,2D,4H,QH,0
KD,AC,KC,4S,5C,304,8D,9D,7C,KH,0
TC,4D,QH,6S,KD,246,9C,8S,QS,7S,0
6H,4D,5S,9H,AS,450,KD,JC,6C,2S,0
4S,4C,JS,2C,5S,431,7C,AC,5C,3H,0
5C,2H,AD,7D,5S,367,QH,3C,4D,KC,0
QH,6D,4H,JC,2H,210,7D,JH,9S,3D,1
3H,KC,QD,AH,7C,425,6S,5D,2S,AS,0
9D,7C,TS,8D,2C,67,AS,4C,3H,9S,0
6S,QS,4S,8C,8S,247,6H,9S,8H,9D,1
JC,TC,KS,7H,8C,341,9C,2C,TS,5C,1
QD,TS,9C,8C,3C,107,6S,2D,5C,8H,0
8H,4C,8D,7S,TD,384,3C,4H,3S,6C,1
QH,4S,QD,2S,9S,362,6S,AS,8C,7D,1
JC,4D,2H,9C,6D,375,JD,5S,KD,7S,1
AH,QD,6S,6C,TH,418,9D,3D,KS,6H,0
TD,8S,9H,4S,8D,308,JD,TH,AD,5H,1
AH,6H,5S,4C,TD,265,4S,2C,5D,KC,0
KD,5S,AS,3D,TC,153,6C,4S,KH,TS,0
7D,8D,9C,9S,JS,27,2S,JC,QS,AC,1
5H,3C,7C,TH,8C,439,8S,6D,5S,4D,1
6D,3D,8H,QH,4C,370,QD,8S,5S,7C,0
4D,TH,8H,7C,QD,368,5H,7H,4S,AD,1
3D,JH,5C,JD,3C,193,JS,4H,7S,6H,1
8C,3H,5C,3S,9D,446,QH,4S,AD,3D,0
6D,9D,5S,AD,9H,206,7S,AC,KC,6H,1
4C,5H,8S,JD,JH,24,3S,6C,JC,3D,0
8H,QD,6C,KS,6H,315,4D,TS,8D,AS,0
AC,TH,7C,AH,JS,219,QS,QD,7D,4C,1
KS,TC,AH,7D,TH,12,KC,2C,KD,8C,0
TS,4S,3S,QD,2H,169,6S,AS,2S,AH,1
2D,QD,3H,6S,8H,34,7D,QC,7H,4C,1
7H,8D,JS,AH,2S,217,6S,6C,8H,9C,0
AD,2H,5C,7S,6D,316,3C,AS,7C,9C,1
4C,KD,AH,7H,5H,283,JH,4H,AD,7S,1
8H,AC,TC,8C,2C,145,3H,5D,QH,3D,0
5H,QH,7D,KH,3H,69,3C,AD,7C,9H,0
2S,AD,6S,4H,3S,102,TS,7C,JD,6C,0
4D,7H,4S,KH,TH,81,9C,6H,QD,4H,0
3H,KC,5D,KS,7S,490,TD,7H,9D,5C,1
8H,4D,6S,3H,TC,329,2S,8C,6H,2D,1
9C,QS,8C,4S,7S,114,QD,7C,JH,KC,1
3H,TC,4D,KC,9S,379,6D,AD,7D,4S,0
2H,3H,TC,3C,8S,245,8D,QC,8C,4D,1
3D,KC,4C,8H,2H,176,7S,2S,3S,QS,0
8S,QS,3D,AD,2S,121,3H,9C,5D,TC,1
2C,5D,4H,TH,6S,65,4C,KS,QD,7C,1
KD,JH,QC,AH,KH,312,TC,3H,6D,6H,1
TS,8H,2C,QC,AS,184,6S,5H,9S,4H,0
2H,6D,AD,TC,9S,329,4S,7S,9C,3C,0
JC,5S,5H,8D,QD,374,QC,4H,QS,6S,0
3S,7D,8H,3H,2S,55,8D,6D,KS,AS,1
6D,4D,9C,3C,AS,497,7H,6C,AC,AD,0
3D,KC,8D,8H,3S,419,QC,5D,QD,TC,0
2H,QD,QH,9C,7S,212,JH,JS,7C,8S,1
4S,6C,KH,2H,6D,392,5H,QC,7H,8S,1
AC,9S,5C,8D,3C,121,6D,6C,AH,4D,0
JH,7D,QH,6C,3H,246,3S,JC,7S,2D,1
7D,3H,TC,8C,2D,78,7H,4C,QC,3D,1
JH,7H,TC,QH,7S,149,6C,6D,TD,AC,0
8H,KD,6H,5H,2D,335,3S,4S,AH,JD,1
JS,4S,2H,JC,KC,82,8H,3D,AH,6H,0
TS,8S,9H,5D,KS,108,JS,8D,7D,AC,1
6S,8C,QS,2D,4C,494,QC,8D,6C,2C,1
4C,2C,QC,5C,8C,397,4H,8S,9D,7H,0
QC,5H,8H,KD,JH,30,AD,3H,QS,9C,0
KS,2D,5S,TC,JD,199,TD,QS,QD,AH,0
8C,4D,TS,QC,3D,417,6S,5D,4C,3H,0
9S,QD,KC,QC,3S,169,7H,TH,KD,KH,0
6D,6C,TD,2C,TS,490,JH,2H,QH,9S,0
7C,AH,5C,7H,QD,33,9S,2S,TD,4D,0
7C,7D,QC,6S,KH,152,AH,JD,JH,9D,1
5H,8C,QC,TD,JC,57,JS,3S,TH,9C,0
2D,QD,5S,5D,8S,310,8D,JD,QS,6S,1
5H,9H,KH,5C,JH,449,QS,2S,TD,6C,1
JS,QC,KC,2C,9H,434,7H,AH,9C,KS,0
3D,TH,4C,TD,QC,449,2C,2S,AS,6C,1
AD,3H,5S,3C,TH,376,3S,4S,3D,KD,0
TD,TC,KS,JS,KC,37,7S,4C,5S,6H,0
9D,5D,7S,QH,QD,413,JS,JH,9H,2C,1
2H,3D,4H,KC,7C,225,TD,JS,6D,2C,0
6H,6C,9H,5C,TH,329,QH,JH,3S,KD,1
8S,QS,6H,4H,9C,54,AH,9D,TS,AC,1
4H,QD,6H,3C,8H,444,2D,TS,KD,3H,0
6D,6H,JS,9S,QD,92,4C,8C,QH,2S,0
AC,QC,8S,JD,5C,245,5S,QS,3S,KH,1
9S,KD,6D,AH,5D,484,6H,5H,3C,4S,1
QD,3S,9S,AC,5C,124,TH,7H,6H,TC,1
7D,6C,TC,2C,5D,319,7H,5H,9S,7S,1
JH,6D,AC,2H,KD,117,KS,5H,KC,AD,0
5D,KS,3H,4C,QH,339,4S,4H,3S,TH,1
TC,AH,JS,8H,TS,13,7S,9S,3D,2D,1
5D,4C,9C,2S,9D,190,KH,7S,9H,6C,0
TS,9D,KS,7H,AD,113,5D,3C,8S,5H,0
7S,4C,8C,7C,4D,168,9C,4S,KS,3S,1
TC,JH,6S,AC,JS,373,7H,QD,9C,4D,1
3S,4C,JH,2S,9S,477,TD,AD,8H,AS,1
9S,4D,3D,AS,4H,216,JC,3C,2H,5C,0
AC,3D,2D,JD,KC,284,7S,QH,9C,TC,1
KS,7S,JC,JD,AS,30,7C,AD,QH,9S,1
6D,7D,AS,5D,KH,147,JC,2D,4H,JH,0
8S,6S,6H,JD,JS,38,6C,2S,8D,AH,1
AD,5S,9D,6C,8H,472,KH,2D,4C,AS,0
AS,AD,JD,9D,3S,249,KC,9H,3D,TH,1
3C,5D,JS,JH,8C,236,AH,6H,7H,KH,1
JS,TH,3S,5H,8D,182,QC,KC,5S,7D,0
KS,7D,AH,JD,AC,325,8D,3D,7S,9S,0
3H,JH,7D,QC,5D,119,4H,9C,JS,2D,0
KD,3C,3H,5S,6S,447,AS,3D,7H,QD,1
7D,6C,JC,2D,QS,416,7H,9C,AS,9D,1
2H,4C,AD,QS,JH,477,5S,3H,8D,5D,1
9S,7S,9D,TH,7C,40,7H,8H,2H,6C,1
2S,AD,KH,7C,2H,360,3H,JH,JD,JC,0
2H,4H,3H,3S,TS,199,5C,2S,7S,QS,1
6C,7C,TD,7H,AH,223,4D,TH,3C,KD,1
TC,6C,6S,5C,2S,317,7H,AC,7C,8S,1
6S,3D,QC,AC,3S,112,TD,5C,AH,4D,0
4D,5S,2H,6S,2D,385,3C,AS,TC,QS,1
KH,5H,6D,AD,6H,119,JD,QH,QS,6S,0
KD,KS,9C,QD,AS,306,3S,2H,3C,8C,0
QS,9C,5C,KH,6H,107,TS,QH,JS,9H,1
KS,2H,2D,8C,JC,187,7H,5H,9C,6D,0
3S,KH,QD,6H,2D,293,7H,5S,8D,3C,0
QH,7S,6S,JD,3H,89,TS,QC,2D,8D,1
JD,5S,4S,QS,6D,476,QH,2S,JC,7S,1
AH,QH,TD,8S,5S,204,3H,8C,5H,TS,0
KD,9C,AD,JS,4D,160,5S,4H,JC,JH,0
2S,AH,3S,KS,5D,114,5S,4S,JH,3C,1
KH,7C,KS,AD,6D,321,5C,AS,4S,4C,1
6D,AC,2H,TS,QS,204,KD,7S,TD,8C,0
5C,TD,QH,7S,TC,134,8C,4D,KD,3C,0
6H,5S,2H,KD,AH,365,TC,5D,6S,3D,0
KC,5S,TD,6S,9D,16,4H,AH,QS,AS,0
2D,8H,QD,AS,TS,108,QS,KH,8C,4S,1
AD,KH,8H,QC,4H,405,6D,7S,3S,4D,0
QH,KS,TH,7H,KH,99,QS,KD,6H,3C,1
3D,9S,JC,7S,5S,114,6H,3H,TS,2S,0
9S,6S,KD,4D,2D,305,JH,9D,8H,2S,1
7C,5C,QD,7D,6C,417,9C,KS,7S,TH,0
KH,8D,9D,6H,KS,224,3S,4C,AD,TD,0
QS,4S,7H,AD,3D,403,QC,QH,KH,9S,1
QH,5S,7H,QD,8C,141,8S,3H,7C,TC,1
8H,8S,7D,TC,QD,462,TD,JH,9C,JS,0
7H,KH,3H,8H,6D,398,6C,QS,5H,KS,0
3S,6H,JS,AD,3C,117,2S,QC,7S,2D,1
KS,JH,4C,6S,7D,326,6H,3H,AH,JC,0
6C,5D,2D,2S,3D,12,2H,JC,7H,5S,1
7H,QD,QC,7D,JH,419,9D,9S,5D,TD,1
KC,7S,QS,6D,KS,241,9S,AC,KH,8S,0
2S,8S,QD,6H,7S,191,3H,QC,4C,AS,1
6S,6C,TS,8S,5H,229,7S,3D,7C,2C,0
TD,8H,AS,2C,5C,377,3C,6H,JD,QC,0
9H,QC,TS,5H,3D,42,AS,TC,KC,6C,1
4D,7D,9D,8S,9C,339,JC,7S,QC,3S,1
9C,4C,KC,TH,3S,271,8D,7D,6H,JC,0
6D,4H,QS,8C,KC,277,3S,AC,KD,9D,0
KD,6S,JH,JS,5S,154,TC,4H,KC,2C,0
9H,AS,TC,AD,9D,496,2H,5C,6H,5H,0
JC,JS,5C,2H,JH,355,4D,3C,KH,9H,0
6D,7S,9D,TD,3H,196,KS,AD,AH,7C,0
8D,KH,4C,QH,QS,390,TH,4S,3H,TC,1
8H,3S,AS,8C,AD,35,6D,8S,QC,QD,1
JC,8C,2D,6D,6C,207,7D,KS,8D,4S,0
QD,TS,5S,6S,QS,309,5H,AC,7S,4D,0
TH,4D,JH,6D,4H,77,7H,2D,7C,2S,0
TD,JS,7S,TS,4C,472,QS,QH,8C,4H,1
5H,TH,7C,5D,JC,495,4H,QS,2H,9C,1
